Temperature,Fuel_Price,CPI,Weekly_Sales
47.06,3.36,214.57,41341.51
77.19,3.48,212.87,43907.0
85.34,3.04,221.06,46715.38
63.92,3.29,217.45,41275.81
80.05,3.21,235.04,47487.01
70.42,3.24,193.49,41961.76
55.32,2.89,230.92,38931.04
70.42,3.21,232.46,43718.96
88.07,3.4,199.27,43637.62
64.46,3.78,216.57,44462.97
88.47,3.58,216.29,44733.06
25.7,4.06,205.92,37959.52
77.33,2.89,212.22,40136.09
66.31,3.55,208.89,42024.34
60.51,3.27,237.52,39012.18
66.38,4.08,229.36,42108.15
35.19,2.88,232.72,39856.22
61.7,2.86,227.22,42819.5
70.36,2.96,208.71,42757.79
87.17,2.35,214.75,41829.94
57.23,2.99,224.89,41173.63
52.87,2.9,207.78,39870.2
57.47,3.26,227.13,40112.05
78.73,3.34,217.6,46418.7
69.93,3.95,216.25,45467.64
57.05,3.58,227.11,42042.95
72.7,2.97,224.44,43087.93
66.46,2.84,216.39,42055.37
79.53,3.4,231.59,41864.6
54.47,2.67,209.19,39339.23
60.09,3.93,226.16,42308.22
59.12,3.67,225.93,41235.17
43.05,3.01,216.9,38838.35
69.44,2.51,223.26,44477.73
68.92,3.74,207.49,44263.26
65.08,3.15,229.24,41792.43
61.48,3.7,218.15,43622.47
43.77,2.56,214.77,40550.23
58.69,2.96,230.49,42977.35
59.86,3.2,212.96,41551.05
52.97,3.22,205.92,39418.79
62.58,3.02,204.43,42170.13
71.06,3.45,226.06,44369.83
93.29,2.77,207.2,45811.59
67.62,3.14,237.55,44221.16
68.86,3.25,199.18,43654.73
63.88,3.41,236.96,42479.15
36.22,3.48,222.11,41470.89
64.6,2.75,219.03,41759.6
65.9,2.59,214.55,44264.89
101.95,3.71,223.99,46837.82
62.11,3.33,219.62,44835.95
69.52,2.9,231.03,43100.47
64.48,3.82,221.14,42482.07
47.47,3.25,221.5,39680.57
82.14,3.67,216.36,44636.68
76.28,3.23,219.43,44381.05
76.87,4.02,223.08,46167.85
51.36,3.9,202.9,40438.65
86.04,3.1,206.52,44129.07
43.97,3.59,227.43,44049.01
73.8,3.46,221.71,46543.71
97.86,3.75,218.16,47874.09
50.14,2.81,220.18,39939.01
56.51,3.47,223.48,42146.45
66.49,3.62,214.6,43999.08
57.45,2.5,212.22,38348.61
41.74,2.73,221.96,38415.14
66.03,2.38,210.22,38113.52
49.07,3.09,224.08,41012.43
72.1,3.49,202.97,44023.59
51.21,3.8,230.29,41472.02
88.25,3.23,224.73,47754.18
53.25,3.85,222.56,40383.75
60.17,2.65,229.83,38987.04
77.2,2.52,236.65,43602.68
46.54,3.18,230.14,42085.05
68.41,3.35,201.59,44828.69
84.61,3.19,207.2,43494.87
40.89,2.37,213.75,39340.82
67.77,3.16,220.26,42573.04
68.9,2.68,225.18,41840.26
76.73,3.47,212.74,45288.69
46.45,3.35,221.87,41457.28
45.19,2.82,212.45,36632.21
72.83,2.99,213.88,44891.61
69.45,2.78,205.93,43645.34
68.76,3.17,210.77,41449.66
70.2,3.58,206.48,43720.91
54.8,2.81,210.24,40784.65
68.48,3.4,230.54,43950.21
69.4,2.99,210.51,41304.94
54.28,2.88,246.32,40542.96
92.99,3.16,224.93,45805.67
72.11,2.79,221.85,44308.29
47.13,2.98,211.42,40291.8
74.85,2.72,227.0,42402.08
50.38,3.99,214.24,42954.75
76.81,3.21,221.22,39571.19
82.38,2.92,245.6,46688.75
52.69,3.29,219.04,38396.83
79.45,3.16,231.49,43937.94
71.19,3.11,212.97,40980.1
77.33,3.45,219.65,42333.58
93.45,3.5,237.71,48763.64
61.32,2.99,213.73,40588.05
53.69,2.97,238.12,41833.36
51.66,3.09,227.08,40774.02
52.76,2.28,214.38,39725.96
63.84,2.59,226.32,41490.83
70.12,3.75,229.73,42429.11
69.15,3.86,226.22,45789.2
77.41,3.1,204.3,42300.57
65.2,3.43,212.73,40172.33
86.8,3.32,217.52,44450.63
61.03,4.43,219.26,46319.14
105.8,3.65,226.21,49589.73
74.39,3.15,221.78,42945.02
52.14,2.82,206.65,39074.91
48.94,2.56,223.8,38950.35
72.24,3.28,226.11,46732.32
61.65,2.9,225.6,42214.9
75.71,2.63,230.81,43696.66
72.1,2.94,228.34,44623.03
63.91,2.77,224.59,41996.98
52.3,3.87,219.3,41625.44
42.28,3.55,203.39,39304.68
58.3,3.2,224.3,41620.6
77.85,3.79,222.08,44991.37
68.21,3.23,222.72,43999.44
46.31,2.86,207.23,39072.32
67.6,3.81,209.19,44436.56
70.78,3.42,230.53,43749.73
51.74,2.79,219.6,40132.75
67.31,3.12,226.82,39768.7
65.87,2.85,220.28,43220.09
47.86,2.65,220.3,39844.93
70.37,3.57,229.38,45542.62
73.41,3.96,214.84,40186.42
81.25,2.64,220.96,46472.96
80.81,3.43,215.38,44277.02
44.33,2.94,215.66,40900.27
50.93,3.01,216.91,38646.14
72.73,2.96,222.22,43863.56
72.71,2.85,215.21,40883.48
72.73,3.22,232.56,42890.35
122.79,2.87,211.05,51213.85
73.56,3.31,218.13,43224.38
82.03,3.18,215.6,44517.75
79.31,3.1,234.47,45781.1
74.77,2.84,221.97,43706.72
60.27,2.97,230.32,42016.83
76.38,3.5,205.14,44218.64
53.41,3.4,222.67,45041.12
61.45,2.81,228.9,41501.57
57.72,3.24,220.82,41892.85
66.23,3.5,230.65,45049.58
99.72,2.53,214.83,46771.89
36.99,3.42,234.09,41738.95
75.29,2.93,242.99,44986.5
40.81,3.43,216.37,38011.49
57.92,2.89,215.54,43224.15
81.33,2.48,234.53,41885.28
65.96,2.55,235.8,42391.15
48.83,3.22,214.77,39114.99
54.27,3.3,215.8,40988.19
75.19,2.84,217.18,43315.14
54.04,3.46,206.56,41457.24
68.25,2.54,210.81,41827.28
65.68,3.17,209.96,44406.57
55.23,2.72,212.32,40696.7
97.16,2.94,219.65,45370.97
74.51,3.22,222.34,45076.93
34.62,2.86,235.51,40507.01
67.8,3.05,210.02,40185.39
55.07,3.6,229.84,43178.1
77.79,2.97,217.86,44446.96
53.11,3.53,219.51,41061.25
63.28,2.75,226.75,43677.16
72.57,3.41,208.77,42972.12
77.99,3.78,223.82,45303.96
47.0,2.21,221.66,38224.79
59.98,2.88,224.92,41401.77
57.88,3.43,222.89,40390.79
55.2,3.12,244.55,39861.92
91.48,3.35,213.62,47944.16
71.07,2.96,214.69,41173.56
46.09,3.23,213.77,38408.51
78.77,3.14,214.45,40452.31
96.83,3.67,213.63,45812.36
80.49,3.3,231.89,42889.77
42.21,3.34,234.21,42908.62
57.74,3.04,214.29,42487.13
84.0,3.0,211.68,42914.97
54.38,3.03,224.71,44346.65
71.66,3.36,214.48,44699.05
76.62,3.03,226.33,43214.35
51.1,3.32,222.03,37240.09
64.11,4.03,204.84,46577.21
16.38,3.55,235.48,35690.44
49.63,3.07,237.96,38531.9
61.21,3.68,213.87,44057.86
46.28,3.04,216.12,43330.03
89.49,2.38,222.86,46013.61
43.55,2.8,223.34,40045.46
58.4,2.45,226.59,41373.73
66.96,3.06,240.1,44427.32
86.62,3.21,218.23,46039.99
43.46,3.87,212.02,41083.79
82.45,3.33,206.21,44292.7
65.15,3.11,212.69,41829.71
50.28,3.53,219.67,40043.45
71.93,2.32,237.95,41904.59
67.99,3.29,214.82,40134.16
56.0,3.51,222.24,41780.09
66.05,2.61,219.84,39934.71
59.22,3.66,231.88,41314.22
66.7,3.34,245.27,44096.64
74.93,3.03,214.69,45121.2
88.79,3.45,215.11,46846.67
46.43,4.11,230.44,39831.45
97.0,3.27,226.82,45114.36
35.72,3.3,238.47,41176.36
62.72,3.02,225.84,40522.27
73.82,2.86,216.41,42325.85
69.21,3.53,225.91,44520.68
55.66,2.86,231.09,39618.28
61.88,3.23,228.2,42525.66
57.6,3.01,225.07,39331.76
56.16,3.39,230.67,41165.95
77.74,3.33,231.69,45070.07
70.36,3.62,233.82,41922.51
54.61,3.0,226.49,41673.51
78.49,3.09,218.33,43684.54
69.61,2.81,221.47,43098.73
77.19,3.02,232.07,44317.47
74.44,3.35,211.83,45482.21
